1	Hack Reactor	1	hackReactor	https://www.hackreactor.com/	/img/hack-reactor-full-logo.png	n/a	["San Francisco", "New York","Austin","Los Angeles"]	["Javascript"]	[{"title":"Web Development","camel":"webDevelopment","cost":"17000","details":"Full stack web development","duration":"12 weeks"}]	#3C90D4
2	App Academy	1	appAcademy	https://www.appacademy.io/	/img/app-academy-logo.jpg	n/a	["San Francisco", "New York"]	["Javascript", "Ruby"]	[{"title":"Web Development","camel":"webDevelopment","cost":"17610","details":"Full stack web development","otherDetails":"Option to pay after employed for additional cost","duration":"12 weeks"}]	#FF0004
3	Fullstack Academy	1	fullstackAcademy	https://www.fullstackacademy.com/	/img/fullstack.png	n/a	["New York", "Chicago"]	["Javascript"]	[{"title":"Web Development","camel":"webDevelopment","cost":"17610","details":"Full stack web development","duration":"12 weeks"}]	#221D1D
4	Flatiron School	1	flatironSchool	https://flatironschool.com	/img/flatiron.png	n/a	["Atlanta","Brooklyn","Houston","London","New York","Seattle","Washington DC"]	["Javascript", "Ruby"]	[{"title":"Web Development","camel":"webDevelopment","cost":"15000","details":"Full stack web development","duration":"15 weeks"}]	#00C0FF
5	General Assembly	1	generalAssemby	https://generalassemb.ly/	/img/general-assembly-logo.png	n/a	["n/a"]	["Javascript", "Ruby"]	[{"title":"Web Development","camel":"webDevelopment","cost":"14950","details":"Full stack web development","duration":"12 weeks"}]	#E01720
6	Le Wagon	1	leWagon	https://www.lewagon.com/	/img/lewagon.png	n/a	["n/a"]	["Ruby"]	[{"title":"Web Development","camel":"webDevelopment","cost":"7000","details":"Full stack web development","duration":"8 weeks"}]	#DC3D35
7	Berkeley	1	berkeley	https://bootcamp.berkeley.edu/	/img/berkeley.svg	n/a	["San Francisco"]	["Javascript", "Python"]	[{"title":"Web Development","camel":"webDevelopment","cost":"11995","details":"Full stack web development","duration":"12 weeks"}]	#002C57
8	Dev League	1	devLeague	https://www.devleague.com/	/img/devleague.png	n/a	["Honolulu"]	["Javascript"]	[{"title":"Web Development","camel":"webDevelopment","cost":"12500","details":"Full stack web development","duration":"16 weeks"}]	#234653
9	Coding Dojo	1	codingDojo	https://www.codingdojo.com/	/img/codingdojo.png	n/a	["San Francisco","Los Angeles","Seattle","New York","Dallas","Tulsa","Tysons Corner","Oakland","Chicago"]	["Javascript", "Ruby", "Python"]	[{"title":"Web Development","camel":"webDevelopment","cost":"13995","details":"Full stack web development","duration":"14 weeks"}]	#464765
